Year,Latitude,Longitude,baa3_n_pre,baa4_n_pre,baa_mean_pre,baa3_n_post,baa4_n_post,baa_mean_post
2000,27.7420043,34.2347743,1,0,1.666666667,1,0,1.833333333
2008,16.4419444,119.9227778,0,0,1.333333333,0,0,1.5
2010,16.3425356,119.8927296,0,0,1.5,1,0,2
2007,26.199204,127.2784676,2,0,2,1,0,2.166666667
2010,0.6246932,123.9750018,1,0,1.5,1,0,1.833333333
2001,29.557669,34.951925,0,0,1.166666667,0,0,1.5
2001,29.557669,34.951925,0,0,1.166666667,0,0,1.5
2001,29.557669,34.951925,0,0,1.166666667,0,0,1.5
2001,29.557669,34.951925,0,0,1.166666667,0,0,1.5
2008,7.740738,98.77841,0,0,1.833333333,1,1,2
2009,-8.1485516,115.0983069,0,0,2,1,1,2.333333333
2010,16.3425356,119.8927296,0,0,1.5,1,0,2
2012,18.0247132,-66.6014073,0,0,1.333333333,0,0,1.5
2012,11.3064409,-74.0657561,1,0,2,1,0,2.166666667
2012,28,-81,0,0,1.166666667,0,0,1.166666667
2015,-16.402684,-38.981778,0,0,1.5,2,1,2.333333333
2014,1.2064868,103.7709177,0,0,1.333333333,0,0,1.166666667
2001,17.9749654,-67.0465664,0,0,1.5,1,0,2
2001,17.9749654,-67.0465664,0,0,1.5,1,0,2
2001,17.9749654,-67.0465664,0,0,1.5,1,0,2
2001,17.9749654,-67.0465664,0,0,1.5,1,0,2
2001,17.7245968,-64.8347992,0,0,1.666666667,2,1,2.5
2006,12.6766338,100.8967847,0,0,1.5,0,0,1.333333333
2014,16.3425356,119.8927296,1,0,1.833333333,3,1,2.666666667
2005,-8.527716,119.4833198,0,0,1.5,1,0,2
2005,-8.527716,119.4833198,0,0,1.5,1,0,2
2005,-8.527716,119.4833198,0,0,1.5,1,0,2
2013,21.1062206,107.8346924,1,0,2.166666667,3,0,2.5
2005,26.501301,127.945404,2,1,2.166666667,0,0,1.833333333
2017,30,-95.5,1,0,2.166666667,1,0,2.2
1982,9.9162209,125.4432657,0,0,0,0,0,2
2000,25,34.5,0,0,1.5,1,0,1.666666667
2010,16.5,121.5,2,0,2.166666667,3,0,2.333333333
2001,25.0273356,-81.5357506,0,0,1.666666667,1,0,1.5
2001,25.0273356,-81.5357506,0,0,1.666666667,1,0,1.5
2001,25.0273356,-81.5357506,0,0,1.666666667,1,0,1.5
2012,7.51498,134.58252,1,0,1.833333333,1,0,2
1997,18.220833,-66.590149,0,0,1,0,0,1.333333333
1997,18.220833,-66.590149,0,0,1,0,0,1.333333333
1997,6.8921132,158.2146857,0,0,1.5,0,0,1.5
1997,18.220833,-66.590149,0,0,1,0,0,1.333333333
1997,18.220833,-66.590149,0,0,1,0,0,1.333333333
2001,18.0829054,-67.8927472,0,0,1.666666667,1,0,2
2008,16.2982564,119.9856157,0,0,1.333333333,0,0,1.5
2015,16.3425356,119.8927296,1,0,2,3,2,2.833333333
2016,16.4434667,-88.1971864,2,0,2.333333333,5,4,3.5
2015,-14.6680433,145.463777,0,0,1.833333333,3,2,2.833333333
2015,1.3450101,103.9832089,0,0,1.333333333,0,0,1.333333333
2017,12.16957,-68.99002,3,0,2.333333333,3,1,2.6
2013,1.3450101,103.9832089,0,0,1.333333333,0,0,1.333333333
1997,22.2166667,114.2666667,0,0,1.333333333,0,0,1.833333333
1995,3.202778,73.22068,0,0,1.5,1,0,1.333333333
1997,16.3425356,119.8927296,0,0,1.5,1,0,1.333333333
2014,16.3425356,119.8927296,1,0,1.833333333,3,1,2.666666667
2015,16.3425356,119.8927296,1,0,2,3,2,2.833333333
2012,28.6929261,34.7298765,2,0,2.166666667,5,0,2.833333333
2002,-23.144722,113.776389,2,1,2.166666667,0,0,1.333333333
2017,16.3425356,119.8927296,2,1,2.5,2,1,2.6
2015,7.51498,134.58252,1,0,2,1,0,2.166666667
2005,35.5,138.5,0,0,1.833333333,1,1,1.833333333
2006,29.5508922,34.9593004,0,0,1.5,0,0,1.666666667
2014,28,-81,0,0,1,0,0,1.5
2003,-7.869895,39.7549511,1,0,1.666666667,0,0,1.833333333
1997,28.6929261,34.7298765,0,0,1.166666667,0,0,1.5
2002,16.2226498,120.0462109,0,0,1.166666667,1,0,1.333333333
2003,1.6235162,124.7602683,0,0,1.666666667,0,0,1.5
1989,25.693713,-80.1628248,0,0,1.25,0,0,1
2006,28,-81,1,0,1.166666667,0,0,1.333333333
2004,24.5569474,-81.8024352,0,0,1.666666667,2,0,2.166666667
2004,24.5569474,-81.8024352,0,0,1.666666667,2,0,2.166666667
2004,24.5569474,-81.8024352,0,0,1.666666667,2,0,2.166666667
2006,15.5,120,0,0,1.333333333,0,0,1.333333333
