restored,number_of_anomalies,year_first_anomaly
1,20.0,2073.0
1,7.0,2066.0
1,44.0,2028.0
1,20.0,2073.0
1,8.0,2076.0
1,8.0,2076.0
1,20.0,2073.0
1,37.0,2057.0
1,53.0,2037.0
1,38.0,2058.0
1,8.0,2076.0
1,23.0,2059.0
1,22.0,2061.0
1,22.0,2061.0
1,23.0,2059.0
1,23.0,2059.0
1,8.0,2076.0
1,15.0,2076.0
1,14.0,2076.0
1,23.0,2059.0
1,43.0,2056.0
1,43.0,2056.0
1,43.0,2056.0
1,43.0,2056.0
1,14.0,2075.0
1,8.0,2076.0
1,38.0,2058.0
1,38.0,2058.0
1,38.0,2058.0
1,38.0,2058.0
1,28.0,2059.0
1,11.0,2076.0
1,42.0,2025.0
1,46.0,2028.0
1,18.0,2073.0
1,8.0,2076.0
1,23.0,2059.0
1,23.0,2059.0
1,7.0,2066.0
1,46.0,2028.0
1,8.0,2087.0
1,18.0,2059.0
1,18.0,2072.0
1,50.0,2041.0
1,45.0,2025.0
1,46.0,2028.0
1,46.0,2028.0
1,15.0,2080.0
1,36.0,2058.0
1,38.0,2058.0
1,38.0,2058.0
1,38.0,2058.0
1,38.0,2058.0
1,39.0,2058.0
1,46.0,2028.0
1,46.0,2028.0
1,46.0,2028.0
1,46.0,2028.0
1,18.0,2057.0
1,0.0,0.0
1,17.0,2053.0
1,18.0,2073.0
1,9.0,2091.0
1,5.0,2091.0
1,8.0,2076.0
1,7.0,2081.0
1,11.0,2076.0
1,15.0,2081.0
1,46.0,2028.0
1,6.0,2073.0
1,9.0,2091.0
1,7.0,2066.0
1,17.0,2053.0
1,8.0,2076.0
1,45.0,2052.0
1,45.0,2052.0
1,45.0,2052.0
1,16.0,2062.0
1,8.0,2073.0
1,8.0,2073.0
1,8.0,2073.0
1,39.0,2058.0
1,18.0,2062.0
1,12.0,2076.0
1,12.0,2075.0
1,19.0,2073.0
1,10.0,2073.0
1,43.0,2056.0
1,53.0,2037.0
1,46.0,2028.0
1,18.0,2072.0
1,11.0,2076.0
1,22.0,2061.0
1,46.0,2049.0
1,16.0,2062.0
1,12.0,2076.0
1,8.0,2076.0
1,8.0,2076.0
1,8.0,2076.0
1,8.0,2076.0
1,38.0,2058.0
1,36.0,2058.0
1,60.0,2026.0
1,8.0,2087.0
1,6.0,2091.0
1,6.0,2091.0
1,20.0,2073.0
1,17.0,2053.0
1,35.0,2058.0
1,41.0,2053.0
1,50.0,2038.0
1,46.0,2028.0
1,18.0,2073.0
1,27.0,2059.0
1,6.0,2091.0
1,6.0,2091.0
1,18.0,2059.0
1,8.0,2076.0
1,8.0,2076.0
1,8.0,2076.0
1,8.0,2076.0
1,14.0,2073.0
1,36.0,2058.0
1,39.0,2057.0
1,18.0,2065.0
1,46.0,2049.0
1,46.0,2049.0
1,22.0,2061.0
1,12.0,2065.0
1,8.0,2076.0
1,8.0,2076.0
1,38.0,2058.0
1,44.0,2054.0
1,40.0,2056.0
1,45.0,2048.0
1,35.0,2058.0
1,18.0,2076.0
1,46.0,2028.0
1,46.0,2028.0
1,46.0,2028.0
1,8.0,2087.0
1,17.0,2075.0
1,17.0,2075.0
1,14.0,2073.0
1,17.0,2065.0
1,18.0,2059.0
1,3.0,2081.0
1,18.0,2072.0
1,18.0,2072.0
1,8.0,2076.0
1,38.0,2058.0
1,36.0,2058.0
1,43.0,2056.0
1,43.0,2056.0
1,36.0,2058.0
1,43.0,2056.0
1,62.0,2026.0
1,50.0,2038.0
1,42.0,2025.0
1,12.0,2060.0
1,6.0,2073.0
1,6.0,2073.0
1,6.0,2073.0
1,16.0,2073.0
1,11.0,2076.0
1,22.0,2061.0
1,10.0,2086.0
1,17.0,2065.0
1,33.0,2058.0
1,33.0,2058.0
1,40.0,2058.0
1,12.0,2080.0
1,6.0,2091.0
1,6.0,2091.0
1,22.0,2061.0
1,22.0,2061.0
1,12.0,2076.0
1,8.0,2076.0
1,8.0,2076.0
1,8.0,2076.0
1,40.0,2058.0
1,40.0,2058.0
1,40.0,2058.0
1,36.0,2058.0
1,43.0,2056.0
1,37.0,2058.0
1,37.0,2058.0
1,37.0,2058.0
1,37.0,2058.0
1,53.0,2037.0
1,18.0,2062.0
1,4.0,2086.0
1,13.0,2080.0
1,14.0,2076.0
1,8.0,2073.0
1,27.0,2059.0
1,27.0,2059.0
1,27.0,2059.0
1,22.0,2061.0
1,14.0,2073.0
1,21.0,2059.0
1,18.0,2072.0
1,8.0,2076.0
1,8.0,2076.0
1,36.0,2058.0
1,38.0,2058.0
1,38.0,2058.0
1,40.0,2058.0
1,43.0,2056.0
1,46.0,2028.0
1,4.0,2086.0
1,27.0,2059.0
1,27.0,2059.0
1,19.0,2073.0
1,18.0,2061.0
1,43.0,2056.0
1,12.0,2060.0
1,45.0,2052.0
1,18.0,2062.0
1,44.0,2028.0
1,15.0,2076.0
1,22.0,2061.0
1,22.0,2061.0
1,22.0,2061.0
1,23.0,2059.0
1,19.0,2073.0
1,19.0,2073.0
1,19.0,2073.0
1,20.0,2059.0
1,18.0,2072.0
1,1.0,2095.0
1,19.0,2073.0
1,13.0,2073.0
1,8.0,2076.0
1,36.0,2058.0
1,43.0,2056.0
1,41.0,2057.0
1,41.0,2057.0
1,28.0,2062.0
1,46.0,2028.0
1,46.0,2028.0
1,19.0,2076.0
1,19.0,2076.0
1,19.0,2060.0
1,16.0,2060.0
1,18.0,2076.0
1,19.0,2073.0
1,38.0,2058.0
1,50.0,2038.0
1,10.0,2082.0
1,11.0,2080.0
1,18.0,2073.0
1,18.0,2073.0
1,18.0,2073.0
1,12.0,2076.0
1,18.0,2059.0
0,42.0,2056.0
0,43.0,2055.0
0,42.0,2055.0
0,17.0,2073.0
0,16.0,2073.0
0,63.0,2023.0
0,21.0,2062.0
0,16.0,2073.0
0,16.0,2073.0
0,47.0,2043.0
0,47.0,2043.0
0,47.0,2043.0
0,19.0,2073.0
0,48.0,2028.0
0,48.0,2028.0
0,47.0,2028.0
0,68.0,2023.0
0,70.0,2023.0
0,61.0,2023.0
0,16.0,2073.0
0,17.0,2073.0
0,50.0,2021.0
0,50.0,2021.0
0,69.0,2023.0
0,67.0,2023.0
0,64.0,2023.0
0,15.0,2080.0
0,51.0,2038.0
0,52.0,2038.0
0,46.0,2021.0
0,46.0,2021.0
0,46.0,2021.0
0,45.0,2025.0
0,42.0,2025.0
0,47.0,2025.0
0,68.0,2023.0
0,20.0,2062.0
0,21.0,2057.0
0,20.0,2055.0
0,52.0,2038.0
0,52.0,2038.0
0,36.0,2061.0
0,49.0,2021.0
0,46.0,2021.0
0,45.0,2025.0
0,42.0,2025.0
0,54.0,2033.0
0,65.0,2026.0
0,63.0,2026.0
0,62.0,2023.0
0,65.0,2023.0
0,59.0,2023.0
0,55.0,2037.0
0,30.0,2052.0
0,24.0,2055.0
0,20.0,2062.0
0,19.0,2062.0
0,25.0,2055.0
0,50.0,2038.0
0,48.0,2048.0
0,44.0,2048.0
0,52.0,2025.0
0,61.0,2033.0
0,60.0,2033.0
0,65.0,2023.0
0,63.0,2026.0
0,63.0,2026.0
0,53.0,2037.0
0,19.0,2052.0
0,17.0,2052.0
0,15.0,2073.0
0,19.0,2062.0
0,19.0,2062.0
0,20.0,2062.0
0,50.0,2038.0
0,43.0,2054.0
0,44.0,2054.0
0,50.0,2038.0
0,50.0,2038.0
0,49.0,2038.0
0,47.0,2048.0
0,42.0,2048.0
0,58.0,2028.0
0,60.0,2033.0
0,60.0,2033.0
0,55.0,2040.0
0,66.0,2026.0
0,63.0,2026.0
0,58.0,2039.0
0,50.0,2047.0
0,48.0,2037.0
0,44.0,2023.0
0,15.0,2080.0
0,15.0,2076.0
0,18.0,2062.0
0,44.0,2048.0
0,43.0,2048.0
0,43.0,2048.0
0,44.0,2054.0
0,42.0,2054.0
0,44.0,2048.0
0,49.0,2036.0
0,42.0,2048.0
0,58.0,2033.0
0,59.0,2033.0
0,51.0,2041.0
0,52.0,2040.0
0,64.0,2026.0
0,57.0,2026.0
0,47.0,2051.0
0,50.0,2047.0
0,47.0,2041.0
0,42.0,2053.0
0,42.0,2053.0
0,12.0,2083.0
0,17.0,2062.0
0,21.0,2062.0
0,42.0,2048.0
0,42.0,2048.0
0,43.0,2048.0
0,42.0,2048.0
0,42.0,2048.0
0,42.0,2048.0
0,42.0,2048.0
0,41.0,2048.0
0,41.0,2048.0
0,40.0,2048.0
0,51.0,2038.0
0,50.0,2036.0
0,47.0,2052.0
0,48.0,2048.0
0,46.0,2048.0
0,42.0,2048.0
0,59.0,2028.0
0,62.0,2033.0
0,51.0,2041.0
0,52.0,2040.0
0,59.0,2026.0
0,59.0,2026.0
0,58.0,2026.0
0,49.0,2049.0
0,46.0,2051.0
0,47.0,2051.0
0,46.0,2053.0
0,47.0,2041.0
0,41.0,2053.0
0,24.0,2068.0
0,23.0,2068.0
0,22.0,2068.0
0,24.0,2055.0
0,39.0,2048.0
0,39.0,2048.0
0,40.0,2048.0
0,40.0,2048.0
0,41.0,2048.0
0,40.0,2048.0
0,45.0,2052.0
0,42.0,2052.0
0,43.0,2052.0
0,47.0,2048.0
0,47.0,2048.0
0,48.0,2038.0
0,45.0,2048.0
0,50.0,2025.0
0,52.0,2040.0
0,52.0,2040.0
0,54.0,2026.0
0,51.0,2036.0
0,48.0,2049.0
0,42.0,2053.0
0,32.0,2053.0
0,35.0,2053.0
0,36.0,2053.0
0,31.0,2062.0
0,32.0,2060.0
0,28.0,2060.0
0,14.0,2077.0
0,38.0,2054.0
0,43.0,2052.0
0,45.0,2052.0
0,45.0,2052.0
0,49.0,2036.0
0,44.0,2054.0
0,45.0,2052.0
0,46.0,2052.0
0,44.0,2052.0
0,47.0,2048.0
0,51.0,2036.0
0,45.0,2048.0
0,46.0,2048.0
0,44.0,2048.0
0,56.0,2040.0
0,56.0,2040.0
0,50.0,2041.0
0,54.0,2034.0
0,52.0,2034.0
0,48.0,2049.0
0,48.0,2049.0
0,45.0,2053.0
0,40.0,2053.0
0,31.0,2057.0
0,28.0,2067.0
0,24.0,2068.0
0,16.0,2077.0
0,16.0,2077.0
0,12.0,2083.0
0,36.0,2054.0
0,36.0,2054.0
0,44.0,2052.0
0,42.0,2052.0
0,45.0,2052.0
0,43.0,2052.0
0,44.0,2052.0
0,51.0,2037.0
0,49.0,2048.0
0,44.0,2054.0
0,47.0,2048.0
0,50.0,2036.0
0,43.0,2054.0
0,44.0,2048.0
0,44.0,2048.0
0,47.0,2048.0
0,46.0,2048.0
0,55.0,2040.0
0,54.0,2041.0
0,50.0,2041.0
0,49.0,2041.0
0,55.0,2040.0
0,51.0,2023.0
0,48.0,2023.0
0,48.0,2049.0
0,47.0,2051.0
0,47.0,2051.0
0,46.0,2051.0
0,30.0,2057.0
0,12.0,2073.0
0,18.0,2073.0
0,17.0,2076.0
0,15.0,2080.0
0,32.0,2055.0
0,36.0,2054.0
0,36.0,2054.0
0,38.0,2054.0
0,43.0,2052.0
0,45.0,2052.0
0,44.0,2052.0
0,50.0,2038.0
0,50.0,2038.0
0,52.0,2036.0
0,46.0,2049.0
0,44.0,2054.0
0,50.0,2036.0
0,44.0,2048.0
0,45.0,2048.0
0,46.0,2048.0
0,46.0,2048.0
0,55.0,2040.0
0,55.0,2040.0
0,48.0,2047.0
0,48.0,2041.0
0,58.0,2034.0
0,58.0,2034.0
0,43.0,2051.0
0,32.0,2053.0
0,32.0,2053.0
0,24.0,2071.0
0,24.0,2071.0
0,14.0,2081.0
0,42.0,2054.0
0,40.0,2054.0
0,31.0,2059.0
0,29.0,2059.0
0,37.0,2056.0
0,44.0,2052.0
0,43.0,2052.0
0,44.0,2052.0
0,43.0,2052.0
0,43.0,2052.0
0,45.0,2052.0
0,43.0,2052.0
0,43.0,2052.0
0,43.0,2052.0
0,46.0,2049.0
0,47.0,2038.0
0,51.0,2036.0
0,50.0,2036.0
0,46.0,2049.0
0,50.0,2036.0
0,48.0,2036.0
0,48.0,2036.0
0,46.0,2048.0
0,45.0,2048.0
0,54.0,2040.0
0,56.0,2037.0
0,58.0,2034.0
0,18.0,2053.0
0,20.0,2073.0
0,21.0,2071.0
0,14.0,2081.0
0,38.0,2054.0
0,39.0,2054.0
0,42.0,2047.0
0,38.0,2051.0
0,36.0,2056.0
0,37.0,2056.0
0,44.0,2052.0
0,44.0,2052.0
0,45.0,2052.0
0,47.0,2038.0
0,43.0,2052.0
0,48.0,2049.0
0,48.0,2038.0
0,47.0,2049.0
0,47.0,2049.0
0,49.0,2038.0
0,49.0,2038.0
0,43.0,2054.0
0,44.0,2054.0
0,45.0,2048.0
0,44.0,2048.0
0,45.0,2048.0
0,53.0,2040.0
0,49.0,2041.0
0,50.0,2041.0
0,58.0,2034.0
0,58.0,2034.0
0,15.0,2053.0
0,17.0,2053.0
0,9.0,2083.0
0,28.0,2062.0
0,30.0,2053.0
0,16.0,2075.0
0,15.0,2078.0
0,14.0,2081.0
0,37.0,2057.0
0,42.0,2048.0
0,42.0,2048.0
0,39.0,2056.0
0,40.0,2054.0
0,34.0,2056.0
0,35.0,2056.0
0,43.0,2056.0
0,43.0,2056.0
0,45.0,2052.0
0,27.0,2060.0
0,44.0,2052.0
0,45.0,2052.0
0,55.0,2031.0
0,47.0,2049.0
0,46.0,2049.0
0,47.0,2049.0
0,46.0,2049.0
0,43.0,2054.0
0,43.0,2054.0
0,43.0,2054.0
0,42.0,2054.0
0,43.0,2054.0
0,41.0,2054.0
0,48.0,2041.0
0,49.0,2041.0
0,45.0,2041.0
0,57.0,2040.0
0,53.0,2040.0
0,10.0,2083.0
0,27.0,2065.0
0,25.0,2065.0
0,11.0,2076.0
0,13.0,2081.0
0,14.0,2081.0
0,37.0,2057.0
0,39.0,2057.0
0,40.0,2054.0
0,38.0,2057.0
0,35.0,2048.0
0,39.0,2056.0
0,42.0,2052.0
0,38.0,2056.0
0,37.0,2056.0
0,35.0,2056.0
0,33.0,2056.0
0,38.0,2055.0
0,41.0,2056.0
0,42.0,2056.0
0,35.0,2056.0
0,39.0,2056.0
0,45.0,2052.0
0,47.0,2036.0
0,49.0,2036.0
0,47.0,2036.0
0,45.0,2052.0
0,45.0,2052.0
0,51.0,2038.0
0,50.0,2036.0
0,46.0,2049.0
0,43.0,2052.0
0,42.0,2054.0
0,42.0,2054.0
0,42.0,2054.0
0,42.0,2054.0
0,39.0,2058.0
0,41.0,2054.0
0,41.0,2054.0
0,39.0,2058.0
0,45.0,2041.0
0,45.0,2041.0
0,51.0,2040.0
0,48.0,2041.0
0,15.0,2073.0
0,16.0,2073.0
0,17.0,2073.0
0,18.0,2073.0
0,42.0,2048.0
0,40.0,2057.0
0,37.0,2048.0
0,40.0,2056.0
0,38.0,2056.0
0,37.0,2052.0
0,41.0,2056.0
0,44.0,2053.0
0,45.0,2052.0
0,45.0,2052.0
0,49.0,2037.0
0,53.0,2037.0
0,47.0,2048.0
0,48.0,2038.0
0,42.0,2054.0
0,41.0,2054.0
0,40.0,2058.0
0,39.0,2058.0
0,38.0,2058.0
0,37.0,2058.0
0,36.0,2058.0
0,45.0,2041.0
0,47.0,2041.0
0,7.0,2085.0
0,7.0,2080.0
0,23.0,2072.0
0,38.0,2057.0
0,38.0,2057.0
0,38.0,2057.0
0,37.0,2056.0
0,39.0,2056.0
0,39.0,2056.0
0,34.0,2058.0
0,35.0,2059.0
0,45.0,2052.0
0,46.0,2052.0
0,44.0,2052.0
0,45.0,2052.0
0,45.0,2052.0
0,8.0,2071.0
0,38.0,2054.0
0,42.0,2054.0
0,41.0,2054.0
0,39.0,2058.0
0,42.0,2055.0
0,47.0,2041.0
0,46.0,2041.0
0,1.0,2095.0
0,2.0,2093.0
0,9.0,2072.0
0,5.0,2085.0
0,6.0,2085.0
0,2.0,2095.0
0,19.0,2071.0
0,21.0,2071.0
0,38.0,2057.0
0,40.0,2056.0
0,41.0,2056.0
0,36.0,2058.0
0,45.0,2052.0
0,47.0,2048.0
0,43.0,2056.0
0,43.0,2054.0
0,43.0,2054.0
0,37.0,2058.0
0,39.0,2055.0
0,47.0,2041.0
0,47.0,2041.0
0,49.0,2040.0
0,2.0,2090.0
0,1.0,2095.0
0,1.0,2095.0
0,0.0,0.0
0,2.0,2095.0
0,30.0,2056.0
0,6.0,2075.0
0,22.0,2073.0
0,14.0,2081.0
0,16.0,2073.0
0,38.0,2057.0
0,39.0,2057.0
0,37.0,2048.0
0,33.0,2059.0
0,43.0,2056.0
0,44.0,2054.0
0,44.0,2054.0
0,44.0,2054.0
0,44.0,2054.0
0,44.0,2054.0
0,43.0,2056.0
0,42.0,2056.0
0,41.0,2056.0
0,27.0,2058.0
0,7.0,2078.0
0,5.0,2081.0
0,27.0,2058.0
0,9.0,2058.0
0,38.0,2054.0
0,37.0,2058.0
0,41.0,2055.0
0,50.0,2040.0
0,51.0,2040.0
0,0.0,0.0
0,2.0,2095.0
0,2.0,2091.0
0,31.0,2056.0
0,23.0,2068.0
0,22.0,2071.0
0,9.0,2075.0
0,7.0,2073.0
0,12.0,2080.0
0,16.0,2076.0
0,38.0,2057.0
0,38.0,2056.0
0,38.0,2056.0
0,28.0,2059.0
0,33.0,2059.0
0,43.0,2056.0
0,42.0,2049.0
0,38.0,2054.0
0,39.0,2058.0
0,39.0,2056.0
0,39.0,2058.0
0,41.0,2055.0
0,41.0,2058.0
0,50.0,2040.0
0,48.0,2040.0
0,48.0,2040.0
0,13.0,2072.0
0,0.0,0.0
0,2.0,2091.0
0,2.0,2091.0
0,31.0,2037.0
0,28.0,2068.0
0,20.0,2059.0
0,12.0,2073.0
0,9.0,2081.0
0,15.0,2082.0
0,24.0,2069.0
0,36.0,2057.0
0,43.0,2052.0
0,26.0,2059.0
0,27.0,2058.0
0,44.0,2054.0
0,43.0,2056.0
0,43.0,2056.0
0,41.0,2056.0
0,41.0,2056.0
0,22.0,2058.0
0,24.0,2058.0
0,38.0,2058.0
0,39.0,2058.0
0,38.0,2058.0
0,36.0,2058.0
0,37.0,2058.0
0,33.0,2044.0
0,37.0,2058.0
0,39.0,2055.0
0,55.0,2025.0
0,14.0,2075.0
0,1.0,2095.0
0,1.0,2098.0
0,1.0,2099.0
0,1.0,2099.0
0,9.0,2059.0
0,24.0,2056.0
0,13.0,2073.0
0,4.0,2083.0
0,4.0,2083.0
0,15.0,2082.0
0,41.0,2052.0
0,26.0,2059.0
0,26.0,2059.0
0,43.0,2056.0
0,42.0,2056.0
0,42.0,2056.0
0,40.0,2058.0
0,40.0,2058.0
0,40.0,2058.0
0,40.0,2058.0
0,27.0,2058.0
0,33.0,2058.0
0,33.0,2058.0
0,35.0,2058.0
0,37.0,2058.0
0,37.0,2058.0
0,39.0,2058.0
0,39.0,2058.0
0,38.0,2058.0
0,38.0,2058.0
0,36.0,2058.0
0,33.0,2058.0
0,32.0,2058.0
0,37.0,2058.0
0,37.0,2058.0
0,39.0,2055.0
0,41.0,2058.0
0,43.0,2052.0
0,2.0,2091.0
0,1.0,2099.0
0,5.0,2075.0
0,2.0,2083.0
0,26.0,2065.0
0,28.0,2061.0
0,19.0,2073.0
0,12.0,2073.0
0,14.0,2083.0
0,18.0,2049.0
0,22.0,2072.0
0,40.0,2058.0
0,43.0,2056.0
0,39.0,2058.0
0,32.0,2058.0
0,29.0,2059.0
0,38.0,2058.0
0,38.0,2058.0
0,36.0,2058.0
0,32.0,2058.0
0,29.0,2059.0
0,30.0,2058.0
0,51.0,2025.0
0,41.0,2058.0
0,42.0,2052.0
0,46.0,2049.0
0,0.0,0.0
0,1.0,2095.0
0,1.0,2095.0
0,6.0,2085.0
0,6.0,2075.0
0,5.0,2075.0
0,20.0,2073.0
0,15.0,2081.0
0,18.0,2049.0
0,24.0,2059.0
0,23.0,2065.0
0,24.0,2065.0
0,34.0,2058.0
0,34.0,2058.0
0,34.0,2059.0
0,34.0,2059.0
0,32.0,2058.0
0,31.0,2058.0
0,29.0,2058.0
0,40.0,2056.0
0,36.0,2058.0
0,39.0,2058.0
0,48.0,2043.0
0,48.0,2043.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,10.0,2075.0
0,4.0,2091.0
0,4.0,2075.0
0,21.0,2059.0
0,15.0,2072.0
0,13.0,2072.0
0,23.0,2065.0
0,16.0,2076.0
0,17.0,2076.0
0,34.0,2060.0
0,34.0,2060.0
0,18.0,2061.0
0,26.0,2058.0
0,23.0,2065.0
0,26.0,2065.0
0,25.0,2065.0
0,27.0,2059.0
0,28.0,2058.0
0,35.0,2058.0
0,43.0,2055.0
0,33.0,2058.0
0,34.0,2058.0
0,46.0,2049.0
0,42.0,2049.0
0,1.0,2090.0
0,0.0,0.0
0,11.0,2075.0
0,3.0,2093.0
0,14.0,2072.0
0,18.0,2072.0
0,16.0,2072.0
0,14.0,2071.0
0,16.0,2076.0
0,16.0,2080.0
0,15.0,2058.0
0,24.0,2058.0
0,23.0,2058.0
0,26.0,2058.0
0,24.0,2058.0
0,26.0,2058.0
0,23.0,2065.0
0,30.0,2059.0
0,30.0,2058.0
0,30.0,2059.0
0,35.0,2058.0
0,35.0,2058.0
0,43.0,2055.0
0,41.0,2049.0
0,42.0,2049.0
0,41.0,2055.0
0,2.0,2092.0
0,7.0,2080.0
0,24.0,2059.0
0,14.0,2072.0
0,12.0,2072.0
0,13.0,2073.0
0,13.0,2073.0
0,16.0,2076.0
0,17.0,2080.0
0,24.0,2059.0
0,28.0,2056.0
0,28.0,2056.0
0,25.0,2058.0
0,19.0,2065.0
0,20.0,2065.0
0,32.0,2058.0
0,31.0,2059.0
0,32.0,2058.0
0,37.0,2058.0
0,37.0,2058.0
0,42.0,2055.0
0,41.0,2055.0
0,41.0,2049.0
0,42.0,2055.0
0,41.0,2055.0
0,1.0,2099.0
0,20.0,2071.0
0,16.0,2071.0
0,6.0,2073.0
0,6.0,2076.0
0,12.0,2073.0
0,13.0,2069.0
0,17.0,2065.0
0,17.0,2065.0
0,28.0,2059.0
0,44.0,2055.0
0,38.0,2055.0
0,36.0,2055.0
0,28.0,2058.0
0,30.0,2058.0
0,12.0,2072.0
0,15.0,2055.0
0,5.0,2076.0
0,5.0,2085.0
0,11.0,2073.0
0,10.0,2073.0
0,14.0,2073.0
0,19.0,2077.0
0,19.0,2077.0
0,3.0,2090.0
0,13.0,2065.0
0,13.0,2065.0
0,31.0,2059.0
0,32.0,2058.0
0,37.0,2055.0
0,36.0,2055.0
0,24.0,2058.0
0,26.0,2058.0
0,1.0,2092.0
0,4.0,2085.0
0,32.0,2051.0
0,2.0,2093.0
0,8.0,2081.0
0,9.0,2073.0
0,17.0,2073.0
0,15.0,2073.0
0,19.0,2073.0
0,19.0,2077.0
0,19.0,2077.0
0,21.0,2078.0
0,21.0,2078.0
0,10.0,2075.0
0,11.0,2065.0
0,11.0,2065.0
0,8.0,2081.0
0,15.0,2065.0
0,32.0,2058.0
0,31.0,2058.0
0,36.0,2049.0
0,28.0,2058.0
0,3.0,2085.0
0,4.0,2085.0
0,32.0,2058.0
