year,baa_rest_fr_3,baa_rest_fr_4,baa_control_fr_3,baa_control_fr_4,baa_rest_n_3,baa_rest_n_4,baa_rest_n_tot,baa_control_n_3,baa_control_n_4,baa_control_n_tot
1986,0.0,0.0,0.035487959442332066,0.010899873257287706,0,0,3,140,43,3945
1987,0.0,0.0,0.07399898631525595,0.00912316269640142,0,0,3,292,36,3946
1988,0.0,0.0,0.05678073510773131,0.0017743979721166034,0,0,4,224,7,3945
1989,0.0,0.0,0.019538188277087035,0.004313625983252981,0,0,5,77,17,3941
1990,0.0,0.0,0.0264750378214826,0.0032778618255168935,0,0,4,105,13,3966
1991,0.0,0.0,0.02244640605296343,0.0025220680958385876,0,0,5,89,10,3965
1992,0.0,0.0,0.014970819588936818,0.005582339507739152,0,0,5,59,22,3941
1993,0.0,0.0,0.008130081300813009,0.001524390243902439,0,0,5,32,6,3936
1994,0.0,0.0,0.02443369814202087,0.004072283023670145,0,0,8,96,16,3929
1995,0.0,0.0,0.03058103975535168,0.0063710499490316,0,0,11,120,25,3924
1996,0.0,0.0,0.039540816326530615,0.0020408163265306124,0,0,14,155,8,3920
1997,0.0,0.0,0.012850167052171678,0.004883063479825238,0,0,23,50,19,3891
1998,0.2916666666666667,0.0,0.1957304526748971,0.031121399176954733,7,0,24,761,121,3888
1999,0.0,0.0,0.02284394250513347,0.0033367556468172485,0,0,23,89,13,3896
2000,0.0,0.0,0.03916516361762432,0.010821953104869879,0,0,29,152,42,3881
2001,0.0,0.0,0.06039398652151374,0.008035251425609125,0,0,40,233,31,3858
2002,0.0,0.0,0.06549314004659591,0.008542583484338596,0,0,34,253,33,3863
2003,0.0975609756097561,0.0,0.06301867219917012,0.00933609958506224,4,0,41,243,36,3856
2004,0.0425531914893617,0.0,0.09088548428979486,0.021812516229550764,2,0,47,350,84,3851
2005,0.3333333333333333,0.022222222222222223,0.1338684619368203,0.03443811496633868,15,1,45,517,133,3862
2006,0.02631578947368421,0.0,0.0646417445482866,0.011163032191069575,1,0,38,249,43,3852
2007,0.1794871794871795,0.0,0.044542849700442824,0.001041938004688721,7,0,39,171,4,3839
2008,0.0,0.0,0.06441558441558441,0.01012987012987013,0,0,39,248,39,3850
2009,0.0,0.0,0.1071521456436931,0.02366710013003901,0,0,38,412,91,3845
2010,0.2857142857142857,0.04081632653061224,0.3494791666666667,0.10026041666666667,14,2,49,1342,385,3840
2011,0.0,0.0,0.09190887666928516,0.024351924587588374,0,0,57,351,93,3819
2012,0.0958904109589041,0.0,0.062253743104806934,0.02048857368006304,7,0,73,237,78,3807
2013,0.03896103896103896,0.012987012987012988,0.07078947368421053,0.015,3,1,77,269,57,3800
2014,0.21978021978021978,0.02197802197802198,0.15484041150092323,0.034291743603270905,20,2,91,587,130,3791
2015,0.14736842105263157,0.021052631578947368,0.213171118751653,0.03623380058185665,14,2,95,806,137,3781
2016,0.4444444444444444,0.25555555555555554,0.5327152317880794,0.19496688741721854,40,23,90,2011,736,3775
2017,0.1134020618556701,0.061855670103092786,0.26282390269698575,0.09227921734531994,11,6,97,994,349,3782
2018,0.05102040816326531,0.01020408163265306,0.11469344608879492,0.02510570824524313,5,1,98,434,95,3784
2019,0.29333333333333333,0.04,0.2622047244094488,0.05459317585301837,22,3,75,999,208,3810
2020,0.5471698113207547,0.16981132075471697,0.3736608309380716,0.14110269140318787,29,9,53,1430,540,3827
2021,0.09523809523809523,0.0,0.2208939708939709,0.06808731808731809,4,0,42,850,262,3848
