restored,row,col,lat,lon,remoteness,gravity,cumulative_impacts_mean,cumulative_impacts_trend,baa_n,baa_mean,baa_trend,year_first_anomaly,number_of_anomalies_2100,coral_diversity
1,152,649,14.0,144.5,6.748939,17.254545,0.9282805070870381,0.07100504275619064,4,1.7777777777777777,0.03758043758043761,0.0,0.0,264.0
1,157,607,11.5,123.5,0.13450937,390.90408,1.196407698388529,0.13255941052418416,2,1.6944444444444444,0.014285714285714306,2026.0,4.0,571.0
1,121,429,29.5,34.5,0.105041705,375.64758,1.5639729155015878,0.12491214044011119,9,1.8611111111111112,0.061132561132561165,2030.0,37.0,302.0
1,160,610,10.0,125.0,0.08532384,518.275,0.9460425594165414,0.09014617611061444,1,1.5555555555555556,0.0010296010296010393,2063.0,8.0,570.0
1,147,599,16.5,119.5,0.102151915,823.1727,1.281105281013879,0.09381470048286827,5,1.75,0.036164736164736186,2058.0,5.0,565.0
1,147,599,16.5,119.5,0.102151915,823.1727,1.281105281013879,0.09381470048286827,5,1.75,0.036164736164736186,2058.0,5.0,565.0
1,153,649,13.5,144.5,6.6067786,50.671745,0.9141478122283554,0.07402036868405215,5,1.9166666666666667,0.036164736164736186,0.0,0.0,264.0
1,131,193,24.5,-83.5,0.5664302,285.5925,1.279535869450063,0.002573234548138098,3,1.6666666666666667,0.021106821106821126,2020.0,35.0,56.0
1,137,43,21.5,-158.5,0.08198949,834.80237,0.6834408196641149,-0.022755039489394106,1,0.9444444444444444,-0.0005148005148005053,2049.0,36.0,58.0
1,128,199,26.0,-80.5,0.049757298,4223.734,1.5808411441195693,0.045815046898232265,0,1.4166666666666667,0.018404118404118416,2060.0,14.0,57.0
1,162,192,9.0,-84.0,0.23122089,36.596638,0.7654690431616966,0.04767694916945796,5,1.6944444444444444,0.026383526383526413,2025.0,40.0,24.0
1,147,599,16.5,119.5,0.102151915,823.1727,1.281105281013879,0.09381470048286827,5,1.75,0.036164736164736186,2058.0,5.0,565.0
1,171,507,4.5,73.5,0.11315006,85.85918,0.7788984680162023,0.09514267339228275,2,1.5,0.017503217503217528,2047.0,10.0,244.0
1,177,567,1.5,103.5,0.036108926,4086.7407,2.532525739124553,0.01748180848504005,0,1.3611111111111112,-0.007335907335907314,2073.0,10.0,548.0
1,177,567,1.5,103.5,0.036108926,4086.7407,2.532525739124553,0.01748180848504005,0,1.3611111111111112,-0.007335907335907314,2073.0,10.0,548.0
1,171,507,4.5,73.5,0.11315006,85.85918,0.7788984680162023,0.09514267339228275,2,1.5,0.017503217503217528,2047.0,10.0,244.0
1,171,507,4.5,73.5,0.11315006,85.85918,0.7788984680162023,0.09514267339228275,2,1.5,0.017503217503217528,2047.0,10.0,244.0
1,147,599,16.5,119.5,0.102151915,823.1727,1.281105281013879,0.09381470048286827,5,1.75,0.036164736164736186,2058.0,5.0,565.0
1,213,651,-16.5,145.5,0.063742265,24.232237,0.9066130855470956,0.03628271896746316,2,1.7777777777777777,0.022908622908622937,2064.0,5.0,418.0
1,209,650,-14.5,145.0,0.46822664,1.0408847,0.5101101258096709,0.05329462916949308,4,2.0,0.035778635778635805,2055.0,7.0,420.0
1,173,506,3.5,73.0,0.38364574,4.502741,0.6975780389554778,0.10289607437033821,3,1.4722222222222223,-0.006563706563706548,2047.0,21.0,244.0
1,143,203,18.5,-78.5,0.09497554,485.12842,1.3069472689326511,0.04445697258688677,0,1.4444444444444444,0.0064350064350064545,2029.0,2.0,60.0
1,143,203,18.5,-78.5,0.09497554,485.12842,1.3069472689326511,0.04445697258688677,0,1.4444444444444444,0.0064350064350064545,2029.0,2.0,60.0
1,143,203,18.5,-78.5,0.09497554,485.12842,1.3069472689326511,0.04445697258688677,0,1.4444444444444444,0.0064350064350064545,2029.0,2.0,60.0
1,143,203,18.5,-78.5,0.09497554,485.12842,1.3069472689326511,0.04445697258688677,0,1.4444444444444444,0.0064350064350064545,2029.0,2.0,60.0
1,166,676,7.0,158.0,5.811898,5.3441625,0.5613767567096644,0.03225011185108585,3,1.8055555555555556,0.021235521235521262,2052.0,15.0,371.0
1,147,599,16.5,119.5,0.102151915,823.1727,1.281105281013879,0.09381470048286827,5,1.75,0.036164736164736186,2058.0,5.0,565.0
1,143,226,18.5,-67.0,0.039697316,1048.9736,2.868694533625914,0.07692271266299977,1,1.4166666666666667,0.02072072072072073,2066.0,5.0,57.0
1,143,226,18.5,-67.0,0.039697316,1048.9736,2.868694533625914,0.07692271266299977,1,1.4166666666666667,0.02072072072072073,2066.0,5.0,57.0
1,143,226,18.5,-67.0,0.039697316,1048.9736,2.868694533625914,0.07692271266299977,1,1.4166666666666667,0.02072072072072073,2066.0,5.0,57.0
1,143,226,18.5,-67.0,0.039697316,1048.9736,2.868694533625914,0.07692271266299977,1,1.4166666666666667,0.02072072072072073,2066.0,5.0,57.0
1,139,185,20.5,-87.5,0.11163626,87.57647,1.3447529253713915,0.07445689999360848,5,1.7222222222222223,0.03500643500643502,2066.0,2.0,57.0
1,135,588,22.5,114.0,0.049122285,2137.64,2.6033881571016866,0.03953870177819313,9,2.111111111111111,0.038352638352638385,2038.0,43.0,76.0
1,122,429,29.0,34.5,0.19387516,265.83218,1.7163239102812275,0.12853123451416404,10,1.9444444444444444,0.06254826254826258,2030.0,27.0,302.0
1,120,429,30.0,34.5,0.13291189,698.36365,3.117835036902265,0.14835205612365499,4,1.5555555555555556,0.047876447876447896,2030.0,28.0,302.0
1,195,439,-7.5,39.5,0.36576304,93.57506,0.8525914793013905,0.0904373548836354,3,1.7777777777777777,2.3418766925686896e-17,2052.0,11.0,277.0
1,147,599,16.5,119.5,0.102151915,823.1727,1.281105281013879,0.09381470048286827,5,1.75,0.036164736164736186,2058.0,5.0,565.0
1,171,507,4.5,73.5,0.11315006,85.85918,0.7788984680162023,0.09514267339228275,2,1.5,0.017503217503217528,2047.0,10.0,244.0
1,171,507,4.5,73.5,0.11315006,85.85918,0.7788984680162023,0.09514267339228275,2,1.5,0.017503217503217528,2047.0,10.0,244.0
1,157,607,11.5,123.5,0.13450937,390.90408,1.196407698388529,0.13255941052418416,2,1.6944444444444444,0.014285714285714306,2026.0,4.0,571.0
1,120,429,30.0,34.5,0.13291189,698.36365,3.117835036902265,0.14835205612365499,4,1.5555555555555556,0.047876447876447896,2030.0,28.0,302.0
1,196,590,-8.0,115.0,0.029916655,5519.8516,1.2700703800391322,0.07824091367233041,3,2.0,0.017503217503217525,2059.0,4.0,563.0
1,156,565,12.0,102.5,0.24276307,205.7467,1.0370707028989934,0.06417069898558445,5,1.75,0.030244530244530273,2038.0,13.0,139.0
1,155,222,12.5,-69.0,0.38616654,508.68967,1.3582668443435386,0.09883146232969484,12,2.0833333333333335,0.04054054054054057,2022.0,9.0,62.0
1,130,429,25.0,34.5,0.4877867,74.202896,1.813515714499028,0.12664011382211443,9,2.0555555555555554,0.04015444015444017,2048.0,20.0,303.0
1,124,428,28.0,34.0,0.23827885,294.78934,1.52157828721829,0.10836713236527765,10,2.1944444444444446,0.04851994851994855,2030.0,41.0,302.0
1,124,198,28.0,-81.0,0.055451516,651.64233,0.0,0.0,1,1.2777777777777777,0.011325611325611348,2031.0,23.0,10.0
1,124,198,28.0,-81.0,0.055451516,651.64233,0.0,0.0,1,1.2777777777777777,0.011325611325611348,2031.0,23.0,10.0
1,120,429,30.0,34.5,0.13291189,698.36365,3.117835036902265,0.14835205612365499,4,1.5555555555555556,0.047876447876447896,2030.0,28.0,302.0
1,120,429,30.0,34.5,0.13291189,698.36365,3.117835036902265,0.14835205612365499,4,1.5555555555555556,0.047876447876447896,2030.0,28.0,302.0
1,161,606,9.5,123.0,0.0552611,874.9218,1.2326906993656104,0.0944543244753401,0,1.5,-0.0010296010296010011,2026.0,12.0,572.0
1,144,230,18.0,-65.0,0.41022912,389.89072,1.6527130198950422,0.08101589512289348,4,1.8333333333333333,0.027799227799227832,2082.0,1.0,55.0
1,144,225,18.0,-67.5,0.1599731,251.49376,1.52038613135125,0.11844752166567067,2,1.6388888888888888,0.020205920205920234,2066.0,7.0,57.0
1,144,225,18.0,-67.5,0.1599731,251.49376,1.52038613135125,0.11844752166567067,2,1.6388888888888888,0.020205920205920234,2066.0,7.0,57.0
1,144,225,18.0,-67.5,0.1599731,251.49376,1.52038613135125,0.11844752166567067,2,1.6388888888888888,0.020205920205920234,2066.0,7.0,57.0
1,144,225,18.0,-67.5,0.1599731,251.49376,1.52038613135125,0.11844752166567067,2,1.6388888888888888,0.020205920205920234,2066.0,7.0,57.0
1,143,224,18.5,-68.0,0.24568236,82.40367,1.5584971346265362,0.08312237888729382,2,1.6666666666666667,0.019047619047619077,2048.0,10.0,58.0
1,129,196,25.5,-82.0,0.29810607,324.0999,0.6285918838779749,0.019800061830491454,5,1.75,0.03333333333333334,2017.0,84.0,53.0
1,129,196,25.5,-82.0,0.29810607,324.0999,0.6285918838779749,0.019800061830491454,5,1.75,0.03333333333333334,2017.0,84.0,53.0
1,129,196,25.5,-82.0,0.29810607,324.0999,0.6285918838779749,0.019800061830491454,5,1.75,0.03333333333333334,2017.0,84.0,53.0
1,129,196,25.5,-82.0,0.29810607,324.0999,0.6285918838779749,0.019800061830491454,5,1.75,0.03333333333333334,2017.0,84.0,53.0
1,120,429,30.0,34.5,0.13291189,698.36365,3.117835036902265,0.14835205612365499,4,1.5555555555555556,0.047876447876447896,2030.0,28.0,302.0
1,120,429,30.0,34.5,0.13291189,698.36365,3.117835036902265,0.14835205612365499,4,1.5555555555555556,0.047876447876447896,2030.0,28.0,302.0
1,120,429,30.0,34.5,0.13291189,698.36365,3.117835036902265,0.14835205612365499,4,1.5555555555555556,0.047876447876447896,2030.0,28.0,302.0
1,120,429,30.0,34.5,0.13291189,698.36365,3.117835036902265,0.14835205612365499,4,1.5555555555555556,0.047876447876447896,2030.0,28.0,302.0
