restored,lat,lon,remoteness,cumulative_impacts_mean,cumulative_impacts_trend,baa_n,baa_mean,baa_trend,coral_diversity,year_first_anomaly,number_of_anomalies_2100
1,28,34,0.23827885,1.521578287,0.108367132,10,2.194444444,0.048519949,302,2022,136
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,26.5,127,0.17442818,0.954486371,-0.007880423,6,2,0.015444015,367,2034,81
1,1,123.5,0.27732182,1.045205304,0.085945245,1,1.694444444,-0.002702703,569,2082,21
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,8,98.5,0.14762029,0.7779569,0.055032892,3,1.888888889,0.018018018,351,2063,49
1,-8,115,0.029916655,1.27007038,0.078240914,3,2,0.017503218,563,2063,46
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,18.5,-67,0.039697316,2.868694534,0.076922713,1,1.416666667,0.020720721,57,2067,29
1,11.5,-74.5,0.07675384,1.610984432,0.084751979,5,1.944444444,0.025225225,60,2019,37
1,28,-81,0.055451516,0,0,1,1.277777778,0.011325611,10,2048,103
1,-16,-39,0.1152955,1.025614473,0.033573336,3,1.777777778,0.004890605,17,2058,81
1,1.5,103.5,0.036108926,2.532525739,0.017481808,0,1.361111111,-0.007335907,548,2063,41
1,18,-67.5,0.1599731,1.520386131,0.118447522,2,1.638888889,0.02020592,57,2067,35
1,18,-67.5,0.1599731,1.520386131,0.118447522,2,1.638888889,0.02020592,57,2067,35
1,18,-67.5,0.1599731,1.520386131,0.118447522,2,1.638888889,0.02020592,57,2067,35
1,18,-67.5,0.1599731,1.520386131,0.118447522,2,1.638888889,0.02020592,57,2067,35
1,18,-65,0.41022912,1.65271302,0.081015895,4,1.833333333,0.027799228,55,2067,50
1,13,100.5,0.06908581,1.132028945,0.090469622,0,1.444444444,0.006692407,131,2019,63
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,-8.5,119,0.14618756,0.684891115,0.067743724,4,1.833333333,0.013127413,569,2052,68
1,-8.5,119,0.14618756,0.684891115,0.067743724,4,1.833333333,0.013127413,569,2052,68
1,-8.5,119,0.14618756,0.684891115,0.067743724,4,1.833333333,0.013127413,569,2052,68
1,21.5,107.5,0.11799443,1.552576933,0.05735429,10,2.194444444,0.051351351,5,2019,173
1,27,127.5,0.11053122,1.13757054,-0.018890371,6,2.055555556,0.015701416,367,2033,76
1,30,-95.5,0.013965554,0,0,4,1.888888889,0.02960103,2,2020,203
1,10,125,0.08532384,0.946042559,0.090146176,1,1.555555556,0.001029601,570,2064,43
1,25,34.5,0.4877867,1.813515714,0.126640114,9,2.055555556,0.04015444,303,2046,152
1,16.5,121.5,0.25579116,1.101621929,0.068503931,8,1.888888889,0.045817246,556,2083,17
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
1,8,134.5,3.1932924,0.694923943,0.088661052,3,1.777777778,0.00978121,342,2041,70
1,18.5,-67,0.039697316,2.868694534,0.076922713,1,1.416666667,0.020720721,57,2067,29
1,18.5,-67,0.039697316,2.868694534,0.076922713,1,1.416666667,0.020720721,57,2067,29
1,7,158,5.811898,0.561376757,0.032250112,3,1.805555556,0.021235521,371,2046,104
1,18.5,-67,0.039697316,2.868694534,0.076922713,1,1.416666667,0.020720721,57,2067,29
