raster_row,raster_column,Year,Longitude,Latitude,Post_monitoring_length,survival,coral_gardening,direct_transplantation,artificial_reefs,larval_enhancement,rest_gen_n,remoteness,gravity,cumulative_impacts_mean,cumulative_impacts_trend,baa4_n_pre,baa_mean_pre,baa4_n_post,baa_mean_post,year_first_anomaly,number_of_anomalies_2100,coral_diversity
152,649,1979,144.8082805,13.5427054,14,0,0,1,0,0,9,6.748939,17.254545,0.9282805070870381,0.07100504275619064,0,0,0,0,0.0,0.0,264.0
157,607,1981,123.7405967,11.1999448,30,NA,0,0,1,0,6,0.13450937,390.90408,1.196407698388529,0.13255941052418416,0,0,0,0,2026.0,4.0,571.0
121,429,1981,34.5,29.5,12,64,0,1,0,0,20,0.105041705,375.64758,1.5639729155015878,0.12491214044011119,0,0,0,0,2030.0,37.0,302.0
160,610,1982,125.4432657,9.9162209,13,60.4375,0,1,0,0,13,0.08532384,518.275,0.9460425594165414,0.09014617611061444,0,0,0,2.0,2063.0,8.0,570.0
147,599,1984,119.8927296,16.3425356,17,50,1,0,0,0,1,0.102151915,823.1727,1.281105281013879,0.09381470048286827,0,0,0,1.5,2058.0,5.0,565.0
147,599,1985,119.8927296,16.3425356,17,50,1,0,0,0,1,0.102151915,823.1727,1.281105281013879,0.09381470048286827,0,0,0,1.4,2058.0,5.0,565.0
153,649,1987,144.6451455,13.455407,12,32.24109589,0,1,0,0,3,6.6067786,50.671745,0.9141478122283554,0.07402036868405215,0,1.0,0,1.5,0.0,0.0,264.0
131,193,1988,-83.1112798,24.4269857,27,NA,0,0,1,0,3,0.5664302,285.5925,1.279535869450063,0.002573234548138098,0,1.3333333333333333,0,1.3333333333333333,2020.0,35.0,56.0
137,43,1989,-158.0000565,21.4389123,18.5,NA,0,0,1,0,3,0.08198949,834.80237,0.6834408196641149,-0.022755039489394106,0,1.25,0,1.0,2049.0,36.0,58.0
128,199,1989,-80.1628248,25.693713,120,87.5,0,1,0,0,NA,0.049757298,4223.734,1.5808411441195693,0.045815046898232265,0,1.25,0,1.0,2060.0,14.0,57.0
162,192,1991,-83.8817571,8.707268,36,81,1,0,0,0,1,0.23122089,36.596638,0.7654690431616966,0.04767694916945796,0,1.5,0,1.5,2025.0,40.0,24.0
147,599,1992,119.9881448,16.3602246,13,NA,0,1,0,0,3,0.102151915,823.1727,1.281105281013879,0.09381470048286827,0,1.6666666666666667,0,1.5,2058.0,5.0,565.0
171,507,1993,73.5093474,4.1754959,16,NA,0,1,0,0,NA,0.11315006,85.85918,0.7788984680162023,0.09514267339228275,0,1.3333333333333333,3,1.3333333333333333,2047.0,10.0,244.0
177,567,1994,103.8303209,1.2494041,6,69,0,1,0,0,NA,0.036108926,4086.7407,2.532525739124553,0.01748180848504005,0,1.3333333333333333,0,1.3333333333333333,2073.0,10.0,548.0
177,567,1994,103.819836,1.352083,18,NA,0,1,0,0,NA,0.036108926,4086.7407,2.532525739124553,0.01748180848504005,0,1.3333333333333333,0,1.3333333333333333,2073.0,10.0,548.0
171,507,1994,73.5093474,4.1754959,15,NA,1,0,0,0,3,0.11315006,85.85918,0.7788984680162023,0.09514267339228275,0,1.1666666666666667,3,1.3333333333333333,2047.0,10.0,244.0
171,507,1994,73.5093474,4.1754959,8,68.53333333,0,1,0,0,18,0.11315006,85.85918,0.7788984680162023,0.09514267339228275,0,1.1666666666666667,3,1.3333333333333333,2047.0,10.0,244.0
147,599,1994,119.8927296,16.3425356,7,NA,0,1,0,0,NA,0.102151915,823.1727,1.281105281013879,0.09381470048286827,0,1.5,3,1.5,2058.0,5.0,565.0
213,651,1995,145.9738016,-16.7597228,6,NA,0,1,0,0,3,0.063742265,24.232237,0.9066130855470956,0.03628271896746316,0,1.5,0,1.6666666666666667,2064.0,5.0,418.0
209,650,1995,145.463777,-14.6680433,3,82,0,1,0,0,4,0.46822664,1.0408847,0.5101101258096709,0.05329462916949308,0,1.6666666666666667,0,1.8333333333333333,2055.0,7.0,420.0
173,506,1995,73.22068,3.202778,28,51,0,1,0,0,17,0.38364574,4.502741,0.6975780389554778,0.10289607437033821,0,1.5,3,1.3333333333333333,2047.0,21.0,244.0
143,203,1996,-78.3472424,18.2683058,NA,NA,0,1,0,0,2,0.09497554,485.12842,1.3069472689326511,0.04445697258688677,0,1.1666666666666667,0,1.5,2029.0,2.0,60.0
143,203,1996,-78.3472424,18.2683058,NA,NA,0,1,0,0,NA,0.09497554,485.12842,1.3069472689326511,0.04445697258688677,0,1.1666666666666667,0,1.5,2029.0,2.0,60.0
143,203,1996,-78.3472424,18.2683058,NA,NA,0,1,0,0,NA,0.09497554,485.12842,1.3069472689326511,0.04445697258688677,0,1.1666666666666667,0,1.5,2029.0,2.0,60.0
143,203,1996,-78.3472424,18.2683058,NA,NA,0,1,0,0,NA,0.09497554,485.12842,1.3069472689326511,0.04445697258688677,0,1.1666666666666667,0,1.5,2029.0,2.0,60.0
166,676,1997,158.2146857,6.8921132,24,47.46666667,1,0,1,0,1,5.811898,5.3441625,0.5613767567096644,0.03225011185108585,0,1.5,0,1.5,2052.0,15.0,371.0
147,599,1997,119.8927296,16.3425356,14,NA,0,1,0,0,1,0.102151915,823.1727,1.281105281013879,0.09381470048286827,0,1.5,3,1.3333333333333333,2058.0,5.0,565.0
143,226,1997,-66.590149,18.220833,3,87.55555556,1,0,0,0,1,0.039697316,1048.9736,2.868694533625914,0.07692271266299977,0,1.0,0,1.3333333333333333,2066.0,5.0,57.0
143,226,1997,-66.590149,18.220833,12,NA,1,0,1,0,1,0.039697316,1048.9736,2.868694533625914,0.07692271266299977,0,1.0,0,1.3333333333333333,2066.0,5.0,57.0
